Ranking,Title,Genre,Publisher,Year,Directors,Plot,Rating,Votes,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platforms
"2594","Psychic Detective","Adventure","Electronic Arts","1995","John Sanborn","Smalltime nightclub entertainer Eric Fox is a telepath hired by odd Laina Pozok to find out if one of her weird relatives had killed her father. Eric uncovers a bizarre conspiracy centered around a missing collection of mystical objects.",8.3,49,0.01,0,0,0,0.01,"PS"
"2595","Psychic Force","Fighting","Acclaim Entertainment","1995","Missing","An air based fighting game where you project psychic attacks.",6.5,8,0.01,0.01,0.13,0.01,0.16,"PS"
"2596","Psycho-Pass: Mandatory Happiness","Adventure","Nippon Ichi Software","2015","Missing","Missing",5.9,29,0.02,0.01,0.01,0,0.05,"PSV|PS4"
"2597","Psychonauts","Platform","Majesco Entertainment","2005","Tim Schafer","Raz, a young psychic, must battle forces greater than he if he is to save his new-found friends at the Whispering Rock psychic camp, where children are having their brains mysteriously stolen.",8.7,1684,0.05,0.04,0,0.01,0.09,"PS2"
"2598","Psychonauts","Platform","THQ","2005","Tim Schafer","Raz, a young psychic, must battle forces greater than he if he is to save his new-found friends at the Whispering Rock psychic camp, where children are having their brains mysteriously stolen.",8.7,1684,0.09,0.03,0,0,0.12,"XB"
"2599","Puella Magi Madoka Magica Portable","Role-Playing","Namco Bandai Games","2012","Yukihiro Miyamoto, Akiyuki Shinbô","Missing",7.9,13,0,0,0.12,0,0.12,"PSP"
"2600","Punch-Out!!","Sports","Nintendo","1983","Genyo Takeda","Bronx kid Little Mac is trained by ex-boxer ""Doc"" Louis so he may gain a name for himself in the World Video Boxing Association, in hopes he can fight the legendary Mr. Dream.",7.5,528,0.02,0.22,0.05,0,0.29,"Wii"
"2601","Punch-Out!!","Sports","Nintendo","2009","Jason Carr, Mike Inglehart","Play as Little Mac as he punches his way to being the best boxer. Punch your way through Glass Joe, the famous Donkey Kong, and more.",7.9,144,0.02,0.22,0.05,0,0.29,"Wii"
"2602","Puppeteer","Platform","Sony Computer Entertainment Europe","2013","Gavin Moore","Puppeteer is a platform video game developed by SCE Japan Studio for the PlayStation 3.",7.8,125,0.11,0.1,0.02,0.04,0.28,"PS3"
"2603","Pursuit Force","Racing","Sony Computer Entertainment","2005","Missing","As a highway cop, race through city streets in dangerous pursuit of the criminal element. Set across five distinct environments, Pursuit Force presents a variety of gameplay elements for each criminal case, including collect and follow assignments, high-speed pursuit, on-foot action, and aerial attacks.",7.1,43,0.14,0.01,0,0.02,0.17,"PSP"
"2604","Puss in Boots","Action","THQ","2011","Mark Hardisty","Missing",4.5,7,0.55,0.05,0,0.05,0.65,"Wii|X360|DS|PS3"
"2605","Puyo Pop Fever","Puzzle","Ignition Entertainment","2004","Kyungjun Choi, Takashi Thomas Yuda","Somewhere, in a far off world called Primp Town, there lives a young girl whose wish is to become a great magic user. Her name is Amitie, and she goes to Primp Magic School to learn about ...                See full summary »",7.7,34,0,0,0.04,0,0.04,"PSP"
"2606","Puyo Pop Fever","Puzzle","Sega","2004","Kyungjun Choi, Takashi Thomas Yuda","Somewhere, in a far off world called Primp Town, there lives a young girl whose wish is to become a great magic user. Her name is Amitie, and she goes to Primp Magic School to learn about ...                See full summary »",7.7,34,0.01,0,0,0,0.01,"GC"
"2607","Puyo Puyo Tetris","Puzzle","Sega","2014","Koji Shindo","Three young Puyo players, the captain of a Tetris-playing starship crew, and all their friends must solve problems caused by their universes starting to merge, and prevent this merge before both universes are doomed.",6.9,61,0,0,0.22,0,0.22,"WiiU|PS3|PSV|3DS"
"2608","Puzzle Quest: Challenge of the Warlords","Puzzle","D3Publisher","2007","Missing","Victory will advance the player-s hero, magical arsenal, creature companions and more - ultimately rewarding gamers at nearly every turn and providing endless hours of replayablity.",7.7,65,0.61,0.06,0.03,0.06,0.77,"DS|PS2|PSP|Wii"
"2609","Puzzle Quest: Galactrix","Puzzle","D3Publisher","2009","Missing","Missing",6.9,8,0.15,0,0,0.01,0.16,"DS"
"2610","Q*bert","Puzzle","Atari","1982","Missing","Q*bert must to make the top of the blocks the color shown and avoid enemies.",6.7,173,0.46,0.32,0,0.05,0.84,"PS"
"2611","Q*bert","Puzzle","Atari","1999","Missing","Missing",5.8,28,0.46,0.32,0,0.05,0.84,"PS"
"2612","Q*bert","Puzzle","Parker Bros.","1982","Missing","Q*bert must to make the top of the blocks the color shown and avoid enemies.",6.7,173,0.55,0.03,0,0.01,0.58,"2600"
"2613","Q*bert","Puzzle","Parker Bros.","1999","Missing","Missing",5.8,28,0.55,0.03,0,0.01,0.58,"2600"
"2614","Quake","Shooter","GT Interactive","1996","John Romero","Mankind discovers the secret of 'slipgates' called teleporters. However, they're misused by some strange force code-named 'Quake', which uses the slipgates to send hordes of warriors to earth to take over the whole world.",8.2,2405,0.15,0.04,0,0,0.19,"N64"
"2615","Quake 4","Shooter","Activision","2005","Eric Biessman","Continuing the storyline from Quake II (1997), once again it's up to you to engage the alien race known as the Strogg.",7.2,1352,0.32,0.05,0,0.03,0.4,"PC|X360"
"2616","Quake II","Shooter","Activision","1997","Missing","A single marine crash lands on an alien planet. You mission is to destroy the bio-mechanical enemy and the big gun.",7.9,1886,0.47,0.22,0,0.03,0.71,"PS|N64"
"2617","Quantum Break","Action","Microsoft Game Studios","2016","Mikael Kasurinen","Jack Joyce attempts to stabilize time before it breaks completely, after he gains the ability to manipulate time locally when an experiment goes awry.",7.7,1976,0.27,0.19,0.01,0.04,0.51,"XOne"
"2618","Quantum Redshift","Racing","Microsoft Game Studios","2002","Missing","Missing",6.8,23,0.09,0.03,0,0,0.13,"XB"
"2619","Quantum Theory","Shooter","Tecmo Koei","2010","Missing","It has been 300 years since humanity collapsed in the wake of a great war. Nearly all of civilization destroyed, only small groups continue to live on in the wasteland. However, in the ...                See full summary »",3.3,39,0.11,0.11,0.02,0.04,0.28,"X360|PS3"
"2620","Quest 64","Role-Playing","Konami Digital Entertainment","1998","Tomokazu Hattori, Ichirou Honma, Yasushi Kamegai, Atsushi Ohsuga","The young hero Brian is tasked with a quest to save the land of Celtland. Brian's father, Lord Bartholomy, has mysteriously disappeared. The Eletale Book has also been stolen, which ...                See full summary »",6.6,41,0.38,0.08,0,0.01,0.47,"N64"
"2621","R-Type Delta","Shooter","Irem Software Engineering","1999","Hiroya Kita","R-Type Delta, the next chapter in the Legendary series, is here. Hordes of enemies, fiendishly tough bosses, new weapons, new ships and all new 3-D graphics. The deadly Bydo are back so ...                See full summary »",7.6,39,0.01,0.01,0,0,0.03,"PS"
"2622","R-Type Final","Shooter","Metro 3D","2003","Missing","In this final installment of the popular R-Type arcade style shooter series, you can choose from over 100 ships to play and complete various stages that will lead to 3 different endings. As...                See full summary »",7.4,50,0.09,0.07,0,0.02,0.19,"PS2"
"2623","R-Type III: The Third Lightning","Shooter","Zoo Digital Publishing","1994","Missing","The evil Bydo Empire returns in this entry of the R-Type series. So climb into the latest R-Type vessel, the R-90, and blast through six side-scrolling levels on your way to destroy the ...                See full summary »",7.2,39,0.02,0.01,0,0,0.03,"GBA"
"2624","R-Types","Shooter","Virgin Interactive","1998","Takeshi Murata, Hideki Yayama","R-Types is a compilation of R-Type and R-Type 2 ported pixel-for-pixel from the coin-op to the PlayStation.",7.2,21,0.04,0.02,0,0,0.06,"PS"
"2625","R.C. Pro-Am","Racing","Nintendo","1988","Missing","An aerial view racing game created by rare in which you play as a remote controlled car.",7.1,59,1.47,0.38,0.19,0.1,2.14,"NES"
"2626","R.U.S.E.","Strategy","Ubisoft","2010","Missing","Missing",7.8,21,0.34,0.53,0.02,0.17,1.06,"X360|PC|PS3"
"2627","R4: Ridge Racer Type 4","Racing","Namco Bandai Games","1998","Missing","A race car game where you can choose between 4 teams in story mode as you customize your race car. The player has to race against other cars for first place in order to qualify for the final Grand Prix.",8,76,0.68,0.46,0.79,0.13,2.06,"PS"
"2628","R: Racing Evolution","Racing","Namco Bandai Games","2003","Missing","Missing",5.8,7,0.26,0.15,0,0.04,0.45,"PS2|GC|XB"
"2629","RPG Maker","Role-Playing","ASCII Entertainment","1997","Missing","Missing",6.6,11,0.11,0.07,0.29,0.03,0.5,"PS"
"2630","RTX Red Rock","Shooter","LucasArts","2003","Hal Barwood","Missing",8,14,0.04,0.03,0,0.01,0.08,"PS2"
"2631","Rabbids Go Home","Platform","Ubisoft","2009","Jacques Exertier","A gang of rabbids must take a lot of stuff in a huge city in order to make a huge pile that reaches the moon.",7.3,99,0.61,1.05,0,0.21,1.86,"DS|Wii"
"2632","Rabbids Land","Misc","Ubisoft","2012","Missing","Missing",7,27,0.02,0.01,0,0,0.04,"WiiU"
"2633","Rad Racer","Racing","Nintendo","1987","Missing","An arcade style 3-D car racing game.",6.8,56,1.13,0.37,0.41,0.05,1.96,"NES"
"2634","Radiant Historia","Role-Playing","Atlus","2010","Missing","In a world torn by war and apparently facing imminent destruction, Stocke must alter his past choices in order to save his comrades and make history right.",8.7,11,0.24,0,0.09,0.02,0.34,"DS"
"2635","Radiant Silvergun","Shooter","ESP","1998","Hiroshi Iuchi","A mysterious object known as ""The Stone Like"" is discovered and soon later wipes out all life on the planet Earth in a magnificent flash. Only 4 humans and a robot remain to stop it.",7.7,38,0,0,0.03,0,0.03,"SAT"
"2636","Radiata Stories","Role-Playing","Square Enix","2005","Naoki Akiyama","Jack Russell, a 16 year-old boy, wants to become a knight just like his late father, Cairn. On the day that Radiata Castle are trying to recruit the people who wants to become the Radiata ...                See full summary »",8.6,79,0.18,0.14,0.29,0.05,0.65,"PS2"
"2637","Rage","Shooter","Bethesda Softworks","2011","Missing","In the year 2135, a man known as ""Ark Survivor"" awakes from cryogenic preservation; he finds that 106 years ago a meteor struck the earth, killing innumerable people and mutating many others into violent abominations.",7.2,1642,1.43,1.38,0.09,0.42,3.32,"PS3|X360|PC"
"2638","Raiden IV","Shooter","Moss","2008","Jin Hoshino","Missing",6.9,9,0.1,0,0.01,0.01,0.12,"X360"
"2639","Raiders of the Lost Ark","Action","Atari","1981","Missing","Missing",6.3,87,0.46,0.03,0,0.01,0.5,"2600"
"2640","Railroad Tycoon 3","Strategy","Gathering of Developers","2003","Missing","Missing",8,59,0,0.03,0,0.01,0.04,"PC"
"2641","RalliSport Challenge","Racing","Microsoft Game Studios","2002","Missing","Missing",7.3,25,0.39,0.16,0,0.02,0.57,"XB"
"2642","RalliSport Challenge 2","Racing","Microsoft Game Studios","2004","Missing","Missing",7.4,14,0.18,0.08,0,0.01,0.27,"XB"
"2643","Rally Championship","Racing","SCi","1996","Missing","Missing",7.1,15,0.01,0,0,0,0.01,"GC"
"2644","Rally Cross","Racing","Sony Computer Entertainment","1997","Missing","Missing",6.3,9,0.18,0.12,0,0.02,0.32,"PS"
"2645","Rally Fusion: Race of Champions","Racing","Activision","2002","Missing","Missing",6.3,7,0.1,0.06,0,0.02,0.18,"XB|PS2"
"2646","Rampage","Action","Activision","1986","Brian Colin, Jeff Nauman","In Rampage three people can play at once, each player being a different giant monster that terrorizes cities throughout North America.",7.4,304,0.22,0.01,0,0,0.24,"2600"
"2647","Rampage 2: Universal Tour","Action","GT Interactive","1999","Missing","George, Lizzie, and Ralph have been captured for the whole world to see, now it's up to a new generation of monsters to rescue them. They are not out to destroy only the world this time, but the entire universe.",7.5,109,0.31,0.13,0,0.01,0.45,"N64|PS"
"2648","Rampage: Total Destruction","Action","Midway Games","2006","Missing","After having participated in a Scum Labs soft drink taste test, a group of people mutate into monsters and tear through the country on a rampage.",7,77,0.68,0.23,0,0.08,0.99,"Wii|GC|PS2"
"2649","Rare Replay","Misc","Microsoft Game Studios","2015","George Andreas, Martin Hollis, Chris Seavor, Chris Tilston, Gregg Mayles","A compilation of 30 Rareware games for the Xbox One.",8,168,0.47,0.21,0.01,0.07,0.75,"XOne"
"2650","Rascal","Action","Psygnosis","1998","Jon Burton","In Rascal you must rescue your kidnapped father, a professor, from the clutches of the evil Chronon. Chronon is using Rascal's father to perfect time travel for his evil plans and it's up ...                See full summary »",3.3,63,0.24,0.16,0,0.03,0.42,"PS"
"2651","Ratatouille","Action","THQ","2007","Missing","A nice food-loving rat makes his way to a restaurant where he helps a young inexperienced chef battle a food critic with a little help from a ghost of a former chef.",7.4,720,2.05,1.37,0,1,4.46,"PSP|DS|Wii|GC|X360|GBA|PS2|PS3|PC"
"2652","Ratchet & Clank","Platform","Sony Computer Entertainment","2002","Perelandra Beedles","When an evil chairman's moneymaking scheme puts the entire galaxy at stake, the only ones who can stop him are the unlikely duo of a lone mechanic and a defect war machine but can the galaxy really be saved when the duo can't get along?",8.4,1799,1.44,1.01,0.57,0.3,3.33,"PS2"
"2653","Ratchet & Clank","Platform","Sony Computer Entertainment","2016","Brian Allgeier","Ratchet and Clank join together with Captain Qwark and more as you battle your way from planet to planet in order to save the Solana Galaxy from the villainous Chairman Drek.",8,2514,1.44,1.01,0.57,0.3,3.33,"PS2"
"2654","Ratchet & Clank Collection","Action","Sony Computer Entertainment","2012","Missing","Relive the first three Ratchet and Clank games that started it all.",7.8,24,0.47,0.19,0.02,0.1,0.79,"PSV|PS3"
"2655","Ratchet & Clank Future: A Crack in Time","Platform","Sony Computer Entertainment","2009","Brian Allgeier","Clank is kidnapped by the mysterious Zoni, led by the evil mastermind Dr. Nefarious. Along with Captain Quark and Talwyn, Ratchet sets out on a quest to save Clank from Nefarious' clutches.",8.5,1112,1.05,0.54,0.03,0.26,1.88,"PS3"
"2656","Ratchet & Clank Future: Quest for Booty","Platform","Sony Computer Entertainment","2008","Brian Allgeier","After Clank has been taken by the Zoni, Ratchet and Talywn need help to find Clank. Ratchet's search takes him aboard an epic ship battle, which ends up with him washed up on the shores of a small village.",7,571,0.01,0.06,0,0.02,0.09,"PS3"
"2657","Ratchet & Clank Future: Tools of Destruction","Platform","Sony Computer Entertainment","2007","Brian Allgeier","Ratchet and clank find their home world attacked by the infamous emperor Tachyon and must go on the run while trying to find the other lombaxes.",8.3,1204,0.93,1.12,0.08,0.45,2.59,"PS3"
"2658","Ratchet & Clank: All 4 One","Platform","Sony Computer Entertainment","2011","Missing","Ratchet, Clank, Captain Qwark and Dr. Nefarious are kidnapped and left stranded on a mysterious planet, forcing the four to team up in order to escape the planet and stop a new threat to the galaxy.",6.9,400,0.75,0.22,0.05,0.12,1.15,"PS3"
"2659","Ratchet & Clank: Full Frontal Assault","Adventure","Sony Computer Entertainment","2012","Missing","After losing the election 3 months ago Captain Qwark is feeling depressed. When there's a mystery villain that invade 3 outpost. Now Captain Qwark will have to Assemble the Q-force.",6.4,243,0.2,0.01,0,0.02,0.24,"PSV|PS3"
"2660","Ratchet & Clank: Going Commando","Platform","Sony Computer Entertainment","2003","Missing","After saving the galaxy two years ago, Ratchet and Clank are recruited by the director of antother great enterprise, called Megacorp, in order to recuperate a robbed experiment in a far away galaxy.",8.5,1307,1.44,0.83,0.26,0.25,2.78,"PS2"
"2661","Ratchet & Clank: Into the Nexus","Shooter","Sony Computer Entertainment","2013","Brian Allgeier","Ratchet and Clank go after new villains Nef and Vendra after being stranded on the edge of the Galaxy, in the epilogue to the Ratchet and Clank series with new weapons, gadgets and armours....                See full summary »",7.9,433,0.3,0.29,0,0.11,0.71,"PS3"
"2662","Ratchet & Clank: Size Matters","Platform","Sony Computer Entertainment","2007","Missing","Ratchet and Clank's vacation is interrupted when a little girl is abducted by a forgotten race of highly advanced microscopic robots known as the Technomites.",6.8,532,1.53,1.5,0.13,0.9,4.06,"PS2|PSP"
"2663","Ratchet & Clank: Up Your Arsenal","Platform","Sony Computer Entertainment","2004","Missing","Ratchet and Clank return to the Solana Galaxy to combat Dr. Nefarious, a villain from Qwark's shady past, who wishes to turn all organic life into robots.",8.8,1396,1.31,0.74,0.31,0.22,2.57,"PS2"
"2664","Ratchet: Deadlocked","Shooter","Sony Computer Entertainment","2005","Missing","After getting captured by Gleeman Vox, Ratchet is forced to compete in his underground game called DreadZone.",8,732,0.85,0.03,0.22,0.14,1.24,"PS2"
"2665","Rave Master","Fighting","Konami Digital Entertainment","2002","Kenyo Sato, Katsufumi Yoshimori","Play as Haru and defeat the enemies from the hit anime TV series.",6.9,14,0,0,0.05,0,0.05,"GC"
"2666","Raven's Cry","Role-Playing","TopWare Interactive","2014","Stephanie Paul","Missing",3,32,0,0.01,0,0,0.01,"PS4"
"2667","Raving Rabbids: Travel in Time","Adventure","Ubisoft","2010","Cédric Royer","This new party game will permit you and your ""rabbids"", to travel in time with a time washing machine. You'll have the possibility to change history and bring a mess every time, everywhere.",5.2,33,0.22,0.47,0,0.08,0.76,"Wii"
"2668","Raw Danger!","Action","505 Games","2006","Missing","The year is 2010. The underground city, Geo City, located beneath the thriving city of Del Ray, is a project put together to design the safest and most advanced city ever built in the world...                See full summary »",7.8,15,0.02,0.01,0,0,0.03,"PS2"
"2669","RayStorm","Shooter","Sony Computer Entertainment","1997","Yukio Ishikawa, Tatsuo Nakamura, Tomohisa Yamashita","In a future date of Earth, space travel and colonization becomes a major part of life. The main colonies however are under strict military jurisdiction which has complaints and grievances ...                See full summary »",6.3,23,0.04,0.03,0,0,0.07,"PS"
"2670","Rayman","Platform","Ubisoft","1995","Missing","Rayman must free the Electoons, defeat Mr. Dark, save the Great Protoon from its mysterious kidnapper, and restore harmony to the world.",7.5,722,1.54,1.33,0,0.16,3.03,"PS"
"2671","Rayman 2: The Great Escape","Platform","Ubisoft","1999","Michel Ancel","An army of Robo-Pirates take over a world called Glade of Dreams, enslave their inhabitants and break the world's core into 1000 lums. Rayman must collect these lums and retrieve the 4 legendary Masks that awaken the Great Polokus.",8,633,0.58,0.34,0,0.04,0.96,"PS|N64"
"2672","Rayman 3: Hoodlum Havoc","Platform","Ubisoft","2003","Missing","André, the leader of the Black Lums transforms other Red Lums into Black Lums to join him. Rayman should save the world before all Black Lums give power to the dangerous killing machine Reflux.",7.7,515,0.25,0.17,0,0.05,0.46,"PC|PS2|GC|XB"
"2673","Rayman DS","Platform","Ubisoft","2005","Michel Ancel","Port of Rayman 2: The Great Escape (1999) released on the Nintendo DS.",7,7,0.21,0.04,0,0.02,0.26,"DS"
"2674","Rayman Legends","Platform","Ubisoft","2013","Michel Ancel","After being asleep for a century, Rayman and friends are awakened by Murfy who tells them that the 10 princesses of the land and the Teensies have been captured, and so they set out to defeat the new threats.",8.2,1733,0.96,1.85,0.03,0.5,3.36,"PS3|PSV|XOne|X360|PS4|WiiU"
"2675","Rayman Origins","Platform","Ubisoft","2011","Michel Ancel","An evil army of horrendous creatures and Darktoons approaches the Glade of Dreams, capturing the Electoons and plunging the world into chaos. Rayman and his friends escape and are then tasked by the Magician to restore the Glade of Dreams.",8.1,1071,1.13,1.63,0.01,0.46,3.22,"3DS|Wii|PC|X360|PSV|PS3"
"2676","Rayman Raving Rabbids","Misc","Ubisoft","2006","Missing","Rayman is taken to an arena by rabbit-like creatures, and forced into doing over the top mini games. Meanwhile he plans an escape using plungers.",5.9,225,1.54,0.1,0.02,0.14,1.81,"X360|DS|Wii|PC"
"2677","Rayman Raving Rabbids 2","Misc","Ubisoft","2007","Missing","Rayman and the Rabbids travel around the world for hilarious hijinks.",5.9,45,1.56,0.83,0,0.26,2.65,"Wii|DS"
"2678","Raze's Hell","Shooter","Majesco Entertainment","2005","Rick Banks, Paul Butler","Missing",7.3,13,0.04,0.01,0,0,0.05,"XB"
"2679","Razor Freestyle Scooter","Sports","Ubisoft","2000","Missing","Nothing ruins the fun at a scooter park faster than when your friends get kidnapped by an evil robot. Yet that's what happens in Razor Freestyle and then you have to help your friends to going back.",4.5,13,0.27,0.17,0,0.03,0.47,"GBA|PS"
"2680","Re-Volt","Racing","Acclaim Entertainment","1999","Missing","Missing",7.8,48,0.25,0.11,0,0.01,0.37,"PS|N64"
"2681","ReCore","Action","Microsoft Game Studios","2016","Mark Pacini, Masahiro Yasuma, Paul Furminger","Assume the role of Joule Adams, a young survivor of a terrible cataclysm who journeys from Earth to the desert world, ""Far Eden"" to build mankind's new home.",6.2,185,0.06,0.03,0,0.01,0.1,"XOne"
"2682","Ready 2 Rumble Boxing","Sports","Midway Games","1999","Mo Davoudian","Missing",6.6,108,1.07,0.52,0,0.08,1.67,"PS|N64"
"2683","Ready 2 Rumble Boxing: Round 2","Fighting","Midway Games","2000","Mo Davoudian","Missing",6.9,48,0.88,0.56,0,0.13,1.57,"PS2|N64|PS"
"2684","Real Heroes: Firefighter","Action","Rondomedia","2009","Bryan Jury, Nathaniel McClure","As the newly graduated fire academy cadet, dubbed 'Probie', begin your professional firefighting career as Engine Company 13's new cadet in the city of Los Angeles, California. Fight fires,...                See full summary »",6.1,18,0.56,0.04,0,0.05,0.65,"Wii"
"2685","RealSports Baseball","Sports","Atari","1982","Missing","Missing",3.6,12,0.2,0.01,0,0,0.21,"2600"
"2686","RealSports Boxing","Sports","Atari","1987","Missing","Missing",5.5,7,0.28,0.02,0,0,0.29,"2600"
"2687","Red Dead Redemption","Action","Take-Two Interactive","2010","Missing","A former outlaw is forced by the federal government to hunt down the members of his old gang.",9.5,26767,6.49,4.58,0.26,1.6,12.94,"X360|PS3"
"2688","Red Dead Redemption: Undead Nightmare","Action","Take-Two Interactive","2010","Missing","After a highly-infectious undead plague spreads across the frontier, John Marston does anything he can to find a cure.",8.4,4118,1.01,0.85,0.08,0.27,2.22,"X360|PS3"
"2689","Red Dead Revolver","Shooter","Take-Two Interactive","2004","Missing","Set in the 1880s, you as a bounty hunter must stop a gang of outlaws from the Wild West. You need to also find and kill the man who murdered your parents in order to avenge them. On your path you will be aided by those willing to help you.",7.8,1291,1.11,0.67,0,0.21,2,"PS2|XB"
"2690","Red Faction","Shooter","THQ","2001","Missing","Rebels band together to bring down a power-hungry corporation controlling the world government with a violent iron-fist.",7.6,735,0.76,0.96,0,0.2,1.92,"PS2"
"2691","Red Faction II","Shooter","THQ","2002","Marco Bertoldo","The 22nd century: humankind is ruled by an evil dictatorship, and only a group of elite soldiers who are physically enhanced by a secret technology originally developed on Mars, are able to stand in its way.",7,669,0.61,0.82,0,0.23,1.65,"XB|GC|PS2"
"2692","Red Faction: Armageddon","Shooter","THQ","2011","Keith Arem, Michael McCormick, Robert Taylor","With the Terraformer destroyed, Mars' inhabitants are forced underground. But when a Cultist group unleashes a hidden evil, it is up to Darius Mason to discover the truth and end Armageddon before it begins.",6.6,384,0.43,0.35,0.04,0.12,0.94,"X360|PS3|PC"
"2693","Red Faction: Guerrilla","Shooter","THQ","2009","Keith Arem, Colin J. Hodges, Michael McCormick, Robert Taylor","Play as Alec Mason as he assists the rebellious Red Faction to overthrow the oppressive Earth Defense Force (EDF) on Mars.",7.4,1001,0.81,0.6,0.03,0.22,1.65,"PS3|X360|PC"
"2694","Red Ninja: End of Honor","Action","Vivendi Games","2005","Shinsuke Sato","As a young girl, Kurenai was leading a normal life. That is until her father was brutally murdered (for a powerful weapon) by 'The Black Lizard Clan' and she was left for dead, hanging on a...                See full summary »",6.4,24,0.03,0.02,0,0.01,0.06,"PS2|XB"
"2695","Red Orchestra 2: Heroes of Stalingrad","Shooter","Tripwire Interactive","2011","Missing","Missing",7.4,78,0.04,0.07,0,0.02,0.14,"PC"
"2696","Red Steel","Shooter","Ubisoft","2006","Missing","Missing",5.8,72,0.55,0.04,0.04,0.05,0.68,"Wii"
"2697","Red Steel 2","Shooter","Ubisoft","2010","Jason Vandenberghe","Missing",7.3,86,0.36,0.21,0.01,0.06,0.63,"Wii"
"2698","Reign of Fire","Shooter","BAM! Entertainment","2002","Missing","Fire-breathing dragons have annihilated the majority of the human race, and the survivors attempt to fight back using scavenged military hardware. Choose between 2 campaigns; human or dragon to beat the game.",7,94,0.31,0.15,0,0.03,0.53,"XB|PS2|GC|GBA"
"2699","Remember Me","Action","Capcom","2013","Jean-Maxime Moris","In Neo-Paris, 2084, Nilin is a former elite memory hunter. When her own memory is wiped clean by the authorities, she sets out to recover her identity while being hunted by the very people that created this surveillance society.",7.1,1001,0.2,0.3,0,0.1,0.59,"PC|PS3|X360"
"2700","Resident Evil","Action","Capcom","1996","Shinji Mikami, Mitsuhisa Hosoki","The RPD are investigating strange cannibalized corpses on the outskirts of the city. The Alpha squad, Jill and Chris, are sent to locate missing team members. While there, mutated dogs cause them to flee into a supposedly abandoned mansion.",8.9,5464,0,0,0.29,0,0.29,"SAT|PS3"
"2701","Resident Evil","Action","Capcom","2002","Shinji Mikami","Remake of the first game in which the RPD squad, Jill and Chris, are forced to flee into a mysterious mansion. Featuring new gameplay mechanics, revised puzzles, additional explorable areas, a revised script, and new story details.",9.1,4202,0,0,0.29,0,0.29,"SAT|PS3"
"2702","Resident Evil","Action","Virgin Interactive","1996","Shinji Mikami, Mitsuhisa Hosoki","The RPD are investigating strange cannibalized corpses on the outskirts of the city. The Alpha squad, Jill and Chris, are sent to locate missing team members. While there, mutated dogs cause them to flee into a supposedly abandoned mansion.",8.9,5464,2.05,1.16,1.11,0.73,5.05,"PS"
"2703","Resident Evil","Action","Virgin Interactive","2002","Shinji Mikami","Remake of the first game in which the RPD squad, Jill and Chris, are forced to flee into a mysterious mansion. Featuring new gameplay mechanics, revised puzzles, additional explorable areas, a revised script, and new story details.",9.1,4202,2.05,1.16,1.11,0.73,5.05,"PS"
"2704","Resident Evil 2","Action","Capcom","1998","Hideki Kamiya","Two months after the mansion events, the deadly T-virus escapes into the streets of Raccoon City. Leon Kennedy and Claire Redfield find the police office left abandoned. In an underground facility the story of Umbrella Corp. gets unfolded.",9.1,5892,0.04,0.01,0,0,0.06,"GC"
"2705","Resident Evil 2","Action","Capcom","2019","Yasuhiro Anpo, Kazunori Kadoi","Re-imagining of Resident Evil 2 (1998), with a third-person over-the-shoulder view, new details, rearranged and new areas, no more loading screen doors, new puzzle solving opportunities, a gunpowder crafting mechanic and more.",9.1,7125,0.04,0.01,0,0,0.06,"GC"
"2706","Resident Evil 2","Action","Virgin Interactive","1998","Hideki Kamiya","Two months after the mansion events, the deadly T-virus escapes into the streets of Raccoon City. Leon Kennedy and Claire Redfield find the police office left abandoned. In an underground facility the story of Umbrella Corp. gets unfolded.",9.1,5892,2.27,1.56,2.09,0.46,6.38,"PS|N64"
"2707","Resident Evil 2","Action","Virgin Interactive","2019","Yasuhiro Anpo, Kazunori Kadoi","Re-imagining of Resident Evil 2 (1998), with a third-person over-the-shoulder view, new details, rearranged and new areas, no more loading screen doors, new puzzle solving opportunities, a gunpowder crafting mechanic and more.",9.1,7125,2.27,1.56,2.09,0.46,6.38,"PS|N64"
"2708","Resident Evil 3: Nemesis","Action","Capcom","1999","Kazuhiro Aoyama, Tatsuya Chiba","Two months after surviving the grisly disaster at the mansion lab, Jill Valentine resigns from S.T.A.R.S. and attempts to escape the ruined nightmarish Racoon city.",8.6,4687,0.06,0.02,0,0,0.08,"GC"
"2709","Resident Evil 3: Nemesis","Action","Eidos Interactive","1999","Kazuhiro Aoyama, Tatsuya Chiba","Two months after surviving the grisly disaster at the mansion lab, Jill Valentine resigns from S.T.A.R.S. and attempts to escape the ruined nightmarish Racoon city.",8.6,4687,1.3,0.77,1.54,0.11,3.72,"PS"
"2710","Resident Evil 4","Action","Capcom","2005","Kuniomi Matsushita, Shinji Mikami","Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.",9.2,13201,4.4,1.82,0.82,0.52,7.57,"Wii|GC|PS2"
"2711","Resident Evil 4","Action","Ubisoft","2005","Kuniomi Matsushita, Shinji Mikami","Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.",9.2,13201,0,0.02,0,0.01,0.03,"PC"
